track_id,name,artists,isrc,tempo,tempo_source,matched_tempo,multiplier,delta
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",USAT21502909,99.9,deezer,199.8,2.0,0.19999999999998863
5hzey1kBGjy3B8tDGcyRTY,Lust for Life (with The Weeknd),"Lana Del Rey, The Weeknd",GBUM71701127,99.86,deezer,199.72,2.0,0.28000000000000114
5OHbgQbHzTjolHzWffSrvn,Glass in the park,Alex Turner,GBCEL1100043,99.86,deezer,199.72,2.0,0.28000000000000114
3DofkfU0559aayAElVjEIr,Laughing on the Outside,Bernadette Carroll,USCW61705209,99.38,deezer,198.76,2.0,1.240000000000009
2Kerz9H9IejzeIpjhDJoYG,Love,Lana Del Rey,GBUM71604605,98.91,deezer,197.82,2.0,2.180000000000007
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,GBUM71808052,197.82,deezer,197.82,1.0,2.180000000000007
6l9AVZVrvHw5u4nL3HL9N0,heart,flor,USAT21705460,97.97,deezer,195.94,2.0,4.060000000000002
7CoZlkSFHX1UqdJ1S90pc8,Keeping A Secret,Bleachers,USRC11800048,97.97,deezer,195.94,2.0,4.060000000000002
36S27uUd2IjlP3wLIy2lJK,"Crush (It's Late, Just Stay)",Yumi Zouma,USA2B1802684,102.08,deezer,204.16,2.0,4.159999999999997
6keyBQK6pA0OApRfM1f0dp,Panama,Sports,QMAAK1594507,97.74,deezer,195.48,2.0,4.52000000000001
